dataset,status,source_files,source_size_bytes,uploaded_path,uploaded_size_bytes,sample_method,seed,sha256
HDFS,ok,1,1565682217,HDFS/HDFS_full.log,94999993,random_line_chunks,20260707,7984f4b4bdcb954352e966561210b024f9d07d908b0a51ff58174c59bc94111b
Hadoop,ok,978,48595595,Hadoop/Hadoop_sample.log,56748728,random_line_chunks,20260707,29c9ac1618b6494f391a6ce83b45e5c247f7640da99b357c6449961171405973
Spark,ok,3852,2941224304,Spark/Spark_sample.log,94999964,random_line_chunks,20260707,357b9b3281335370a54e883712cff873bc8285fef69016c13ffbb39077eeadf7
Zookeeper,ok,1,10330307,Zookeeper/Zookeeper_full.log,10330307,full_copy,,ac7459a7e4e5744fd8d7793486a8ce9a8c7e5a554bc90c4895ea8a1de213c372
OpenStack,ok,1,61407564,OpenStack/OpenStack_full.log,61407564,full_copy,,220f1395a35138263eeda81ba8729f1e37e7be365339cfca9a28ccd94e04310d
BGL,ok,1,719447452,BGL/BGL_full.log,94999981,random_line_chunks,20260707,957723cecae3909514aff383b905d7ab391a99ddc298e55e2e337304254ecb4a
HPC,ok,1,32610624,HPC/HPC_full.log,32610624,full_copy,,f10b07cd190ce4d03e4145fbde9c19ee296138bc30863b44558a193a79f66138
Thunderbird,ok,1,2516177713,Thunderbird/Thunderbird_full.log,94999965,random_line_chunks,20260707,137c9f2a56a0ed0321ca27c9a2618e23b0074c5f9c57e97f0d20825c2e28ae90
Windows,ok,1,28012696901,Windows.log,94999928,random_line_chunks,20260707,f56d225f92e95cde000be3177d3de68fa6cdf2fc80d2f7025f6e0e3b3af14002
Linux,ok,1,2135395,Linux/Linux_full.log,2135395,full_copy,,9ef66a377aa89f23e646a91fbb5f8d656f60191c75176f01933d64afdad4fb0e
Mac,ok,1,15437759,Mac/Mac_full.log,15437759,full_copy,,55554ee59796414b6e5ea1e22fc97640ad4b901ccd5067185228dbc2b9f1eab7
Android_v1,missing_source,0,0,Android/Android_full.log,0,,,
HealthApp,ok,1,20483511,HealthApp/HealthApp_full.log,20483511,full_copy,,2353081c14c370b877d533d38930e0b8eca8f4cf94ef9ea292842ec62f0e3cc0
Apache,ok,1,4975683,Apache/Apache_full.log,4975683,full_copy,,3b1794121bce3c8b127d3cf3aa5efbed9690fb056c9016cb5e842ca7ef89aec1
OpenSSH,ok,1,70536064,OpenSSH/OpenSSH_full.log,70536064,full_copy,,aecae85174ea0c4b324bb2076fa8f1452b23ecd1fed8e69ba3a0c6ec5452adb3
Proxifier,ok,1,2519391,Proxifier/Proxifier_full.log,2519391,full_copy,,aa4dcae98629465899ead595449eaf1f4393eaa1948805095677c11e4740f695
spark-event-logs,ok,6512,2126027157,spark-event-logs/app-sampled,7290177,random_line_chunks,20260707,de4f22f7b8fc231a9a62ecfbf5d8b901174c53b74f29a011f2cbc3c7a4cb0715
elasticsearch,ok,1,8565304619,elasticsearch/elasticsearch.log,94999947,random_line_chunks,20260707,5bb017ec790485c5df921a0e33d9b11852de82a748ed1ecc36722135b0b4e40a
cockroachdb,ok,1,10506623721,cockroachdb/cockroach.node1.log,94999618,random_line_chunks,20260707,145c934b3d88ec04e6a6e02752467ce87541b97cf1bde47b95f541345f4ae560
oceanbase,ok,23,5065460582,oceanbase/observer.sample.log,94999948,random_line_chunks,20260707,141ba37bc3e2b150333b839d756568b4e1bf31dd673c8a09b44c7f1f799b8995
